Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalizationBN,SharesOutstandingMn,AnneeFiscale,DateRapport,NetIncomeBN,TotalRevenueBN,TotalEquityBN,TotalAssetsBN,TotalDebtBN,EPS,EOD_Close_Price,ROE_calcule,ROA_calcule,DebtToEquity_calcule,PER_calcule,Dividendes_Annuels,Annual_Volume_Traded_BN,%MargeNette,%Gearing,%PayOut,Croissance de l'EPS (en %)
ABT,ABT,ABT,USA,Healthcare,Medical Devices,United States,0.714,192.53652322597853,1734.460032,2024,2024-12-31,13.402,41.95,47.664,81.414,15.021,7.739225,111.00660705566406,0.2811765693185633,0.1646154224089223,0.0780163667044614,14.343375086738538,2.2,1.4061967,31.947556615017874,31.514350453172206,28.426618944403348,134.49951459193605
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,16.3208966605625,386.134016,2021,2021-12-31,2.157,8.923,13.545896,45.100945,2.724394,5.34,42.26744079589844,0.1592364211271074,0.0478260488776898,0.1669267355011917,7.91525108537424,0.0,0.5139023,24.173484254174603,20.11232036625706,0.0,
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,21.967910929083253,369.872992,2022,2022-12-31,1.476,9.613,12.91,47.99,2.725,3.9,59.39311981201172,0.1143299767621998,0.0307564075849135,0.1240445670413011,15.229005080003006,0.0,0.581475,15.3542078435452,21.107668474051124,0.0,-26.96629213483146
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,26.808820314300537,373.172,2023,2023-12-31,4.443,13.297,18.353,58.906,2.726,11.94,71.84038543701172,0.2420857625456328,0.0754252537941805,0.1016829524030148,6.01678269991723,0.0,0.4866646,33.41355192900654,14.853157521931019,0.0,206.15384615384613
ACGL,ACGL,ACGL,USA,Financial Services,Insurance - Diversified,Bermuda,0.447,34.74594664830029,376.241984,2024,2024-12-31,4.312,16.93,20.82,70.906,2.728,11.47,92.3499984741211,0.2071085494716618,0.0608129072292894,0.0785127551024271,8.05143840227734,5.0,0.4259336,25.4695806261075,13.102785782901059,43.59197907585004,-3.9363484087102107
ACN,ACN,ACN,USA,Technology,Information Technology Services,Ireland,1.261,175.94576556271875,641.428992,2022,2022-08-31,6.877169,61.594305,22.106097,47.26339,3.325756,10.87,274.30279541015625,0.311098291118509,0.1455073154930274,0.0189021656154292,25.234847783823025,4.03,0.5866691,11.165267633103419,15.04451916591156,37.07451701931923,
ACN,ACN,ACN,USA,Technology,Information Technology Services,Ireland,1.261,197.51238749695509,631.302976,2023,2023-08-31,6.871557,64.111745,25.692839,51.245305,3.149034,10.9,312.8646545410156,0.2674502806015326,0.1340914450601865,0.0159434759505833,28.703179315689507,4.65,0.5550288,10.718093853162163,12.256465702369443,42.6605504587156,0.2759889604415866
ACN,ACN,ACN,USA,Technology,Information Technology Services,Ireland,1.261,210.27786195947263,626.384,2024,2024-08-31,7.264787,64.896464,28.288646,55.932363,4.120549,11.57,335.7012023925781,0.2568092866657527,0.1298852151124028,0.0195957337667536,29.014797095296295,5.35,0.6753237,11.194426556121764,14.566087751248327,46.240276577355225,6.14678899082568
ADBE,ADBE,ADBE,USA,Technology,Software - Application,United States,1.54,163.9355674790039,475.272,2022,2022-11-30,4.756,17.606,14.051,27.165,4.633,10.13,344.92999267578125,0.3384812468863426,0.1750782256580158,0.0282611032568839,34.05034478536833,0.0,0.893341,27.013518118823125,32.972742153583376,0.0,
ADBE,ADBE,ADBE,USA,Technology,Software - Application,United States,1.54,227.23124537353516,440.2,2024,2024-11-30,5.56,21.505,14.105,30.23,6.056,12.43,516.2000122070312,0.3941864587025877,0.1839232550446576,0.0266512643982776,41.52856091770163,0.0,0.827315,25.854452452917926,42.93512938674229,0.0,22.70483711747284
ADI,ADI,ADI,USA,Technology,Semiconductors,United States,1.039,69.3268697726582,514.342016,2022,2022-10-31,2.748561,12.013953,36.465323,50.30235,6.602253,5.29,134.78749084472656,0.0753746511445956,0.0546408070398301,0.0952336809905105,25.47967690826589,3.04,0.9086675,22.878073520014603,18.105565663027313,57.46691871455577,
ADI,ADI,ADI,USA,Technology,Semiconductors,United States,1.039,75.48558104046094,498.313984,2023,2023-10-31,3.314579,12.305539,35.565122,48.794478,7.013478,6.6,151.48196411132812,0.0931974590161675,0.0679293874196174,0.0929114925437311,22.951812744140625,3.44,0.8377047,26.935666938278775,19.72010105855956,52.121212121212125,24.763705103969748
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,33.798237741149656,561.222976,2021,2021-12-31,2.709,85.249,22.477,56.136,10.581,4.8375,60.22247695922851,0.1205232014948614,0.0482578024796921,0.3130636597397958,12.449090844284964,1.48,0.6325375,3.1777498856291575,47.074787560617516,30.594315245478032,
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,44.71249973815625,549.334016,2022,2022-12-31,4.34,101.556,24.284,59.774,10.288,7.934186,81.39401245117188,0.1787184977763136,0.0726068190183022,0.2300922574279724,10.258646879613345,1.6,0.8148711,4.273504273504273,42.36534343600725,20.16589981631386,64.01418087855298
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,36.050490878030274,533.380992,2023,2023-12-31,3.483,93.935,24.132,54.631,9.596,6.44,67.58863067626953,0.1443311785181501,0.0637550108912522,0.2661822284879885,10.495128986998374,1.8,0.7522464,3.7078831106616277,39.76462787999337,27.95031055900621,-18.832253239336715
ADM,ADM,ADM,USA,Consumer Defensive,Farm Products,United States,0.686,23.26764133064502,478.534016,2024,2024-12-31,1.8,85.53,22.168,53.271,11.538,3.76569,48.62275314331055,0.0811981234211476,0.0337894914681534,0.4958818058108749,12.91204351481682,2.0,1.0317032,2.104524728165556,52.04799711295561,53.11111642222275,-41.52655279503106
ADP,ADP,ADP,USA,Technology,Software - Application,United States,0.86,81.38245373364258,417.747008,2022,2022-06-30,2.9489,16.4983,3.2253,63.0682,3.358,7.04,194.81277465820312,0.9143025454996434,0.0467573198537456,0.0412619655213448,27.672269127585672,4.37,0.4516712,17.873962771921956,104.11434595231452,62.07386363636363,
ADP,ADP,ADP,USA,Technology,Software - Application,United States,0.86,85.96908500433399,413.123008,2023,2023-06-30,3.412,18.0122,3.5091,50.971,3.3389,8.25,208.0956115722656,0.972329087230344,0.0669400247199387,0.0388383800971206,25.223710493607953,5.15,0.4392691,18.94271660319117,95.14975349804794,62.42424242424243,17.1875
ADP,ADP,ADP,USA,Technology,Software - Application,United States,0.86,93.40749502432031,409.291008,2024,2024-06-30,3.752,19.2026,4.5476,54.3627,3.3199,9.14,228.21780395507812,0.8250505761280675,0.0690179111780687,0.0355421157492298,24.969125159198917,5.739999999999999,0.4161729,19.53902075760574,73.00334242237663,62.80087527352296,10.78787878787879
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,20.33446899143982,257.606,2021,2021-12-31,0.99,6.394,9.7,35.735,13.612,3.86,78.93631744384766,0.102061855670103,0.0277039317196026,0.6694052353041641,20.449823171981254,2.2,0.3222748,15.483265561463872,140.32989690721652,56.994818652849744,
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,20.824389699005128,258.522,2022,2022-12-31,1.074,7.957,10.508,37.904,15.095,4.16,80.55171203613281,0.1022078416444613,0.0283347403967918,0.7248711831742736,19.36339231637808,2.36,0.3397501,13.497549327636044,143.6524552721736,56.730769230769226,7.772020725388606
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,18.27430982567163,262.944992,2023,2023-12-31,1.152,7.5,11.349,40.83,16.506,4.39,69.49860382080078,0.1015067406819984,0.0282145481263776,0.9032352060055632,15.831117043462594,2.52,0.3816279,15.36,145.44012688342585,57.403189066059234,5.528846153846145
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,23.115960319702147,266.928,2024,2024-12-31,1.182,7.623,12.114,44.598,18.722,4.43,86.59998321533203,0.0975730559683011,0.0265034306471142,0.8099166005248288,19.54852894251287,2.68,0.3923263,15.505706414797324,154.54845633151726,60.49661399548534,0.9111617312072884
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,38.09532816517188,496.390016,2021,2021-12-31,2.4881,16.792,22.4332,87.6687,36.6589,4.97,76.7447509765625,0.1109115061605121,0.028380710561466,0.9622938498142376,15.441599794076962,3.0,0.7064893,14.817174845164363,163.41360126954694,60.362173038229386,
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,43.49331927081299,513.864,2022,2022-12-31,2.3072,19.6395,23.8934,93.4033,41.5793,4.51,84.6397476196289,0.0965622305741334,0.0247014827099256,0.9559927983676006,18.767128075305745,3.17,0.7550722,11.747753252374041,174.02002226556291,70.28824833702882,-9.255533199195176
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,40.614913800750735,525.876,2023,2023-12-31,2.2081,18.9823,25.2467,96.684,43.6085,4.26,77.23287200927734,0.0874609354885985,0.0228383186463116,1.0737065752234574,18.129782161802193,3.3699999999999997,0.7778328,11.63241546071867,172.72950524226928,79.10798122065728,-5.543237250554323
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,47.46434701844531,532.564992,2024,2024-12-31,2.9671,19.7213,26.9438,103.078,45.7628,5.6,89.1240463256836,0.1101218090989392,0.02878499776868,0.9641510496755792,15.9150082724435,3.5700000000000003,0.7742026,15.045154224113015,169.84538186892718,63.75000000000001,31.45539906103285
AES,AES,AES,USA,Utilities,Utilities - Diversified,United States,1.001,11.719343936442261,669.628992,2023,2023-12-31,0.249,12.668,2.488,44.799,26.878,0.37,17.501249313354492,0.10008038585209,0.0055581597803522,2.2934730942080006,47.300673819877005,0.664,1.5349727,1.9655825702557626,1080.3054662379423,179.45945945945948,
AES,AES,AES,USA,Utilities,Utilities - Diversified,United States,1.001,8.621423528751832,711.027008,2024,2024-12-31,1.679,12.278,3.644,47.406,29.018,2.38,12.125310897827148,0.4607574094401756,0.0354174577057756,3.365801471558269,5.094668444465189,0.692,2.3457862,13.674865613292067,796.3227222832052,29.075630252100837,543.2432432432432
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,35.23592512805176,661.528,2021,2021-12-31,4.231,21.546,33.253,157.542,7.956,6.42,53.26445007324219,0.1272366403031305,0.0268563303753919,0.2257922836164199,8.296643313589126,1.32,0.8138045,19.63705560196788,23.92566084263074,20.560747663551403,
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,41.65690228691406,621.788992,2022,2022-12-31,4.418,19.151,20.14,131.738,7.442,6.96,66.9952392578125,0.219364448857994,0.0335362613672592,0.1786498657231601,9.625752766927084,1.6,0.7008041,23.06929142081354,36.95134061569017,22.98850574712644,8.411214953271017
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,46.61613140335547,584.380032,2023,2023-12-31,4.659,18.841,21.985,126.724,7.364,7.81,79.77023315429688,0.2119172162838299,0.0367649379754426,0.1579710666310232,10.213858278399089,1.68,0.6034875,24.727986837216704,33.49556515806232,21.51088348271447,12.212643678160905
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,56.22864182244873,555.528,2024,2024-12-31,5.443,19.128,26.098,117.566,7.498,9.68,101.2165756225586,0.2085600429151659,0.0462973989078475,0.1333484102937463,10.456257812247788,2.0,0.5537809,28.455667084901716,28.730170894321404,20.66115702479339,23.943661971831
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,43.17095004163037,830.297984,2021,2021-12-31,10.367,51.985,65.956,596.112,30.163,12.1,51.99452590942383,0.1571805446054945,0.0173910271895214,0.6986874268672193,4.297068256977176,1.28,1.102674,19.942291045493896,45.73200315361756,10.578512396694215,
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,43.73299175229297,742.979968,2022,2022-12-31,10.227,29.975,40.97,522.228,27.179,13.1,58.861602783203125,0.2496216743958994,0.0195834003538684,0.6214758906489624,4.4932521208552005,1.28,1.2374651,34.11843202668891,66.33878447644618,9.770992366412214,8.264462809917351
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,46.32553991790771,702.04,2023,2023-12-31,3.643,27.959,45.351,539.306,10.606,5.02,65.9870376586914,0.0803289894379396,0.0067549776935543,0.2289449841015262,13.14482821886283,1.4,0.985047,13.029793626381487,23.386474388657362,27.888446215139446,-61.679389312977094
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,44.459200004135745,623.769024,2024,2024-12-31,-1.404,27.27,42.521,161.322,8.922,2.352516,71.27510070800781,-0.0330189788575057,-0.0087030907129839,0.2006783747609054,30.29739253973525,1.56,1.0365769,-5.148514851485149,20.982573316714095,66.31198257525135,-53.13713147410358
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,8.298732219393921,57.0478,2021,2021-12-31,1.3618,10.1876,5.4641,33.9206,2.2025,10.29,145.4698028564453,0.249226771105946,0.0401466955183575,0.2654019845167211,14.137007080315389,2.66,0.0962947,13.36723075110919,40.30855950659761,25.850340136054424,
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,6.389473176715088,52.8314,2022,2022-12-31,0.2766,10.193,4.2287,33.1173,2.1299,5.09,120.94082641601562,0.0654101733393241,0.008352130155538,0.3333451665094882,23.7604767025571,2.74,0.1237121,2.7136269989208284,50.36772530564949,53.831041257367396,-50.534499514091344
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,8.661073017727661,52.5906,2023,2023-12-31,0.6425,11.1316,4.8095,33.6352,2.0804,12.02,164.68861389160156,0.1335897702463873,0.0191020121777185,0.2402011847425595,13.70121579797018,2.8199999999999994,0.0988945,5.771856696252111,43.256055723048135,23.460898502495837,136.1493123772102
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,10.77004409688721,51.2874,2024,2024-12-31,0.7602,11.8775,5.1067,35.0206,2.0831,14.55,209.99395751953125,0.148863258072728,0.0217072237483081,0.1934161068664578,14.432574399967782,2.96,0.0883318,6.400336771206063,40.79150919380422,20.343642611683848,21.04825291181365
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,33.80154926193237,207.278,2021,2021-12-31,0.9068,8.2094,8.5084,33.345,6.5929,4.474026,163.07350158691406,0.1065770297588265,0.027194481931324,0.1950472728013383,36.44893918517998,1.92,0.2501278,11.045874241722903,77.48695406892013,42.91436840107769,
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,38.39644250244141,210.84,2022,2022-12-31,1.1142,8.5506,9.1436,38.3584,6.4151,5.297365,182.11175537109375,0.1218557242224069,0.0290470926837407,0.1670753742248933,34.37780016500538,2.04,0.2326289,13.030664514770896,70.15945579421671,38.509711903937145,18.40264227342443
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,47.7342616575498,215.911008,2023,2023-12-31,0.9695,10.0719,10.7753,51.6158,8.3172,4.510687,221.08303833007812,0.0899742930591259,0.0187830083036589,0.1742396281243102,49.01316325652349,2.2,0.2143275,9.625790565831672,77.18764210741233,48.77305829466776,-14.850364284885032
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,70.29118014455469,249.803008,2024,2024-12-31,1.4627,11.5549,20.1535,64.2552,13.4852,6.6335,281.3864440917969,0.072577964125338,0.0227639163834211,0.1918476823446059,42.41900114446324,2.4,0.2574427,12.658698906957222,66.91244696950902,36.17999547750056,47.06185554439932
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,19.01665934875488,162.48,2021,2021-12-31,0.651642,3.461223,4.530014,8.138673,2.858937,4.01,117.04000091552734,0.143849886556642,0.0800673525032889,0.150338550403028,29.18703264726368,0.0,0.3778562,18.826929094138116,63.11099700795626,0.0,
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,13.3608529319458,157.242,2022,2022-12-31,0.523672,3.616654,4.360187,8.3034,3.174617,3.29,84.97000122070312,0.1201031056695504,0.0630671773008647,0.237605863650328,25.826748091399125,0.0,0.4057326,14.479460849724635,72.80919373412196,0.0,-17.955112219451365
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,17.62924374572754,150.832,2023,2023-12-31,0.547629,3.81192,4.597155,9.900037,4.535979,3.59,116.87999725341795,0.1191234578777526,0.055315853870041,0.2572985583173015,32.557102299002224,0.0,0.3898323,14.366224894541332,98.66926392518852,0.0,9.118541033434635
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,14.369213544428225,150.227008,2024,2024-12-31,0.504918,3.991168,4.878357,10.368785,4.634605,3.34,95.6500015258789,0.103501650248229,0.0486959658243468,0.322537137169703,28.637725007748177,0.0,0.4182315,12.650883149995188,95.0033997101893,0.0,-6.963788300835649
ALB,ALB,ALB,USA,Basic Materials,Specialty Chemicals,United States,1.431,24.033118508239742,117.153,2022,2022-12-31,2.689816,7.320104,7.982627,15.456522,3.316369,22.97,205.14300537109375,0.336958748041215,0.174024660916602,0.1379916218056755,8.930910116286189,1.58,0.3293257,36.74559814997164,41.54483229643574,6.878537222464084,
ALB,ALB,ALB,USA,Basic Materials,Specialty Chemicals,United States,1.431,16.629446197280885,117.353,2023,2023-12-31,1.573476,9.617203,9.41218,18.270652,4.280444,13.41,141.70448303222656,0.1671744484274631,0.0861204077446168,0.2574014762259434,10.567075543044488,1.6,0.5624965,16.361056327915716,45.47771079601113,11.931394481730052,-41.61950370047888
ALGN,ALGN,ALGN,USA,Healthcare,Medical Instruments & Supplies,United States,1.859,16.58170017664795,78.1124,2022,2022-12-31,0.361573,3.734635,3.601358,5.947947,0.126908,4.62,212.27999877929688,0.1003990716835149,0.0607895463762538,0.0076534974488758,45.94805168383049,0.0,0.2480985,9.681615472462504,3.523892931499729,0.0,
ALGN,ALGN,ALGN,USA,Healthcare,Medical Instruments & Supplies,United States,1.859,20.596342876098145,76.589104,2023,2023-12-31,0.445053,3.86226,3.630489,6.083877,0.126619,5.82,268.9200134277344,0.1225876183621545,0.0731528595992325,0.0061476447911993,46.20618787418116,0.0,0.2322698,11.523123766913672,3.487656896908378,0.0,25.974025974025984
ALGN,ALGN,ALGN,USA,Healthcare,Medical Instruments & Supplies,United States,1.859,15.565918304958252,74.653104,2024,2024-12-31,0.421362,3.999012,3.851985,6.2146,0.119277,5.63,208.5099945068359,0.1093882764340982,0.0678019502461944,0.0076627024286775,37.035523002990395,0.0,0.1947361,10.536652553180637,3.096507385153369,0.0,-3.264604810996574
ALL,ALL,ALL,USA,Financial Services,Insurance - Property & Casualty,United States,0.249,30.61604188406372,286.676,2021,2021-12-31,1.614,48.68,25.179,99.44,7.976,5.04,106.79666900634766,0.0641010365781008,0.0162308930008045,0.2605170201361552,21.189815279037234,3.24,0.4658553,3.3155299917830736,31.677191310218834,64.28571428571429,
ALL,ALL,ALL,USA,Financial Services,Insurance - Property & Casualty,United States,0.249,50.06860170763672,264.803008,2024,2024-12-31,4.667,63.515,21.442,111.617,8.085,17.22,189.07867431640625,0.2176569349874079,0.0418126271087737,0.1614784460570792,10.98017853173091,3.68,0.3860642,7.347870581752342,37.706370674377396,21.37049941927991,241.66666666666666
ALLE,ALLE,ALLE,USA,Industrials,Security & Protection Services,Ireland,1.043,11.252755319404539,89.695904,2021,2021-12-31,0.483,2.8674,0.7591,3.051,1.4421,5.37,125.45450592041016,0.6362798050322751,0.1583087512291052,0.1281552792242097,23.36210538555124,1.44,0.1739522,16.84452814396317,189.9749703596364,26.81564245810056,
ALLE,ALLE,ALLE,USA,Industrials,Security & Protection Services,Ireland,1.043,9.10446958930664,87.8448,2022,2022-12-31,0.458,3.2719,0.9418,3.9912,2.0945,5.2,103.64266967773438,0.486302824378849,0.1147524554018841,0.230051842060083,19.931282630333538,1.64,0.1840218,13.997982823435926,222.3932894457422,31.538461538461537,-3.165735567970207
ALLE,ALLE,ALLE,USA,Industrials,Security & Protection Services,Ireland,1.043,10.667350756054688,87.7876,2023,2023-12-31,0.5404,3.6508,1.3183,4.3115,2.015,6.15,121.51318359375,0.4099218690738072,0.1253392090919633,0.188894135580599,19.758241234756095,1.8,0.1960576,14.802235126547606,152.84836531897142,29.268292682926827,18.26923076923077
ALLE,ALLE,ALLE,USA,Industrials,Security & Protection Services,Ireland,1.043,11.27195850154541,86.929296,2024,2024-12-31,0.5975,3.7722,1.5007,4.4878,1.9995,6.85,129.66812133789062,0.398147531152129,0.1331387316725344,0.1773870973465582,18.929652750057027,1.92,0.1830574,15.839563119664918,133.2378223495702,28.029197080291972,11.382113821138207
AMAT,AMAT,AMAT,USA,Technology,Semiconductor Equipment & Materials,United States,1.666,73.7978050073291,860.793024,2022,2022-10-31,6.525,25.785,12.194,26.726,5.829,7.49,85.73234558105469,0.5350992291290799,0.2441442789792711,0.0789860890770545,11.446241065561374,1.02,2.0092684,25.30541012216405,47.802197802197796,13.618157543391188,
AMAT,AMAT,AMAT,USA,Technology,Semiconductor Equipment & Materials,United States,1.666,108.53545083198048,836.534016,2023,2023-10-31,6.856,26.517,16.349,30.729,5.999,8.16,129.7442169189453,0.4193528656186923,0.2231117185720329,0.0552722631547071,15.900026583204085,1.2200000000000002,1.4756351,25.85511181506204,36.69337574163557,14.950980392156865,8.945260347129501
AMAT,AMAT,AMAT,USA,Technology,Semiconductor Equipment & Materials,United States,1.666,147.863926318875,824.403968,2024,2024-10-31,7.177,27.176,19.001,34.409,6.606,8.68,179.35858154296875,0.3777169622651439,0.2085791508035688,0.0446762111926736,20.663431053337415,1.52,1.5614252,26.409331763320576,34.76659123204042,17.511520737327192,6.372549019607843
AMCR,AMCR,AMCR,USA,Consumer Cyclical,Packaging & Containers,Switzerland,0.681,16.135725677382567,1502.770048,2022,2022-06-30,0.805,14.544,4.082,17.426,6.983,0.532,10.737321853637695,0.1972072513473787,0.0461953402961092,0.4327664054048752,20.182935815108447,0.483,2.2486905,5.534928492849285,171.06810387065164,90.78947368421052,
AMCR,AMCR,AMCR,USA,Consumer Cyclical,Packaging & Containers,Switzerland,0.681,13.24859414726257,1471.44,2023,2023-06-30,1.048,14.694,4.026,17.003,7.209,0.709,9.003829002380371,0.260307998012916,0.0616361818502617,0.5441332053702864,12.699335687419424,0.494,1.9459211,7.132162787532326,179.06110283159464,69.6755994358251,33.27067669172932
