Ticker,YahooTicker,Nom,Zone,AnneeFiscale,DateRapport,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,Dividendes_Annuels,Annual_Volume_Traded
AEP,AEP,AEP,USA,2024,2024-12-31,Utilities,Utilities - Regulated Electric,United States,0.598,47464342955.296875,532564992.0,15.91500691005162,0.11012180909893927,0.02878499776868003,0.9641511322109856,5.6,89.12403869628906,2967100000.0,19721300000.0,26943800000.0,103078000000.0,45762800000.0,3.5700000000000003,774202600.0
AEP,AEP,AEP,USA,2023,2023-12-31,Utilities,Utilities - Regulated Electric,United States,0.598,40614913800.75073,525876000.0,18.129782161802193,0.08746093548859851,0.022838318646311695,1.0737065752234574,4.26,77.23287200927734,2208100000.0,18982300000.0,25246700000.0,96684000000.0,43608500000.0,3.3699999999999997,777832800.0
AEP,AEP,AEP,USA,2022,2022-12-31,Utilities,Utilities - Regulated Electric,United States,0.598,43493323191.28418,513864000.0,18.767129766967503,0.09656223057413345,0.024701482709925667,0.9559927121947825,4.51,84.63975524902344,2307200000.0,19639500000.0,23893400000.0,93403300000.0,41579300000.0,3.17,755072200.0
AEP,AEP,AEP,USA,2021,2021-12-31,Utilities,Utilities - Regulated Electric,United States,0.598,38095324378.0166,496390016.0,15.44159825898752,0.1109115061605121,0.028380710561466065,0.9622939454783719,4.97,76.74474334716797,2488100000.0,16792000000.0,22433200000.0,87668700000.0,36658900000.0,3.0,706489300.0
AES,AES,AES,USA,2024,2024-12-31,Utilities,Utilities - Diversified,United States,1.001,8621423528.751831,711027008.0,5.094668444465189,0.4607574094401756,0.03541745770577564,3.365801471558269,2.38,12.125310897827148,1679000000.0,12278000000.0,3644000000.0,47406000000.0,29018000000.0,0.692,2345786200.0
AES,AES,AES,USA,2023,2023-12-31,Utilities,Utilities - Diversified,United States,1.001,11719343936.44226,669628992.0,47.300673819877005,0.10008038585209003,0.00555815978035224,2.2934730942080006,0.37,17.501249313354492,249000000.0,12668000000.0,2488000000.0,44799000000.0,26878000000.0,0.664,1534972700.0
AES,AES,AES,USA,2022,2022-12-31,Utilities,Utilities - Diversified,United States,1.001,16481000419.780518,669110976.0,-30.038038114222086,-0.22404595814526057,-0.01423246357167062,1.4257629635029723,-0.82,24.63119125366211,-546000000.0,12617000000.0,2437000000.0,38363000000.0,23498000000.0,0.632,1324512300.0
AES,AES,AES,USA,2021,2021-12-31,Utilities,Utilities - Diversified,United States,1.001,13965180667.212524,674342976.0,-33.94969564969423,-0.1461758398856326,-0.012407851227133452,1.3389730104889759,-0.61,20.709314346313477,-409000000.0,11141000000.0,2798000000.0,32963000000.0,18699000000.0,0.604,1409099800.0
AFL,AFL,AFL,USA,2024,2024-12-31,Financial Services,Insurance - Life,United States,0.658,56228637584.106445,555528000.0,10.456257024087197,0.20856004291516592,0.04629739890784751,0.13334842034514066,9.68,101.21656799316406,5443000000.0,19128000000.0,26098000000.0,117566000000.0,7498000000.0,2.0,553780900.0
AFL,AFL,AFL,USA,2023,2023-12-31,Financial Services,Insurance - Life,United States,0.658,46616131403.35547,584380032.0,10.213858278399089,0.2119172162838299,0.036764937975442696,0.1579710666310232,7.81,79.77023315429688,4659000000.0,18841000000.0,21985000000.0,126724000000.0,7364000000.0,1.68,603487500.0
AFL,AFL,AFL,USA,2022,2022-12-31,Financial Services,Insurance - Life,United States,0.658,41656907030.7876,621788992.0,9.625753863104459,0.21936444885799405,0.033536261367259255,0.17864984537857792,6.96,66.99524688720703,4418000000.0,19151000000.0,20140000000.0,131738000000.0,7442000000.0,1.6,700804100.0
AFL,AFL,AFL,USA,2021,2021-12-31,Financial Services,Insurance - Life,United States,0.658,35235930175.10986,661528000.0,8.296644501968336,0.12723664030313053,0.02685633037539196,0.22579225127480812,6.42,53.26445770263672,4231000000.0,21546000000.0,33253000000.0,157542000000.0,7956000000.0,1.32,813804500.0
