Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalizationBN,SharesOutstanding,AnneeFiscale,DateRapport,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncomeBN,TotalRevenueBN,TotalEquityBN,TotalAssetsBN,TotalDebtBN,Dividendes_Annuels,Annual_Volume_Traded_BN,%MargeNette,%Gearing,%PayOut,Croissance de l'EPS (en %)
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,20.824389699005128,258522000.0,2022,2022-12-31,19.36339231637808,0.1022078416444613,0.0283347403967918,0.7248711831742736,4.16,80.55171203613281,1.074,7.957,10.508,37.904,15.095,2.36,0.3397501,13.497549327636044,143.6524552721736,56.730769230769226,7.772020725388606
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,18.2743138378938,262944992.0,2023,2023-12-31,15.831120519268758,0.1015067406819984,0.0282145481263776,0.9032350076955008,4.39,69.49861907958984,1.152,7.5,11.349,40.83,16.506,2.52,0.3816279,15.36,145.44012688342585,57.403189066059234,5.528846153846145
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,23.115962356201173,266928000.0,2024,2024-12-31,19.54853066472383,0.0975730559683011,0.0265034306471142,0.8099165291717811,4.43,86.59999084472656,1.182,7.623,12.114,44.598,18.722,2.68,0.3923263,15.505706414797324,154.54845633151726,60.49661399548534,0.9111617312072884
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,38.095328165171885,496390016.0,2021,2021-12-31,15.441599794076962,0.1109115061605121,0.028380710561466,0.9622938498142376,4.97,76.7447509765625,2.4881,16.792,22.4332,87.6687,36.6589,3.0,0.7064893,14.817174845164363,163.41360126954694,60.362173038229386,
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,43.493315350341796,513864000.0,2022,2022-12-31,18.767126383643987,0.0965622305741334,0.0247014827099256,0.9559928845404342,4.51,84.63973999023438,2.3072,19.6395,23.8934,93.4033,41.5793,3.17,0.7550722,11.747753252374041,174.02002226556291,70.28824833702882,-9.255533199195176
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,40.61492182498169,525876000.0,2023,2023-12-31,18.12978574367756,0.0874609354885985,0.0228383186463116,1.073706363092813,4.26,77.2328872680664,2.2081,18.9823,25.2467,96.684,43.6085,3.37,0.7778328,11.63241546071867,172.72950524226928,79.10798122065728,-5.543237250554323
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,47.464342955296885,532564992.0,2024,2024-12-31,15.91500691005162,0.1101218090989392,0.02878499776868,0.9641511322109856,5.6,89.12403869628906,2.9671,19.7213,26.9438,103.078,45.7628,3.5700000000000003,0.7742026,15.045154224113015,169.84538186892718,63.75000000000001,31.45539906103285
AES,AES,AES,USA,Utilities,Utilities - Diversified,United States,1.001,11.719343936442261,669628992.0,2023,2023-12-31,47.300673819877005,0.10008038585209,0.0055581597803522,2.2934730942080006,0.37,17.501249313354492,0.249,12.668,2.488,44.799,26.878,0.664,1.5349727,1.9655825702557626,1080.3054662379423,179.45945945945948,
AES,AES,AES,USA,Utilities,Utilities - Diversified,United States,1.001,8.621422850663635,711027008.0,2024,2024-12-31,5.094668043761694,0.4607574094401756,0.0354174577057756,3.365801736283743,2.38,12.125309944152832,1.679,12.278,3.644,47.406,29.018,0.692,2.3457862,13.674865613292067,796.3227222832052,29.075630252100837,543.2432432432432
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,35.235932698638926,661528000.0,2021,2021-12-31,8.296645096157942,0.1272366403031305,0.0268563303753919,0.2257922351040057,6.42,53.264461517333984,4.231,21.546,33.253,157.542,7.956,1.32,0.8138045,19.63705560196788,23.92566084263074,20.560747663551403,
