Ticker,YahooTicker,Nom,Zone,AnneeFiscale,DateRapport,Sector,Industry,Country,Beta,MarketCapitalizationBN,SharesOutstandingMn,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncomeBN,TotalRevenueBN,TotalEquityBN,TotalAssetsBN,TotalDebtBN,Dividendes_Annuels,Annual_Volume_Traded_BN,%MargeNette,%PayOut,Croissance de l'EPS (en %)
ANDR,ANDR.VI,Andritz AG,Eurostoxx,2022,2022-12-31,Industrials,Industrial Distribution,Austria,1.197,4.739069118577515,99.190704,11.540423038501096,0.221573082332576,0.0482347676582114,0.2718466364944468,4.14,47.77735137939453,0.4096,7.5429,1.8486,8.4918,1.2883,1.65,0.036836401,5.430272176483846,39.85507246376812,26.21951219512195
ANDR,ANDR.VI,Andritz AG,Eurostoxx,2023,2023-12-31,Industrials,Industrial Distribution,Austria,1.197,4.966756305682373,98.9036,9.751098040238167,0.2342838774854204,0.0600426017676203,0.229324720179424,5.15,50.21815490722656,0.5102,8.66,2.1777,8.4973,1.139,2.1,0.030142649,5.891454965357967,40.77669902912621,24.3961352657005
ANDR,ANDR.VI,Andritz AG,Eurostoxx,2024,2024-12-31,Industrials,Industrial Distribution,Austria,1.197,4.6731733668662105,99.210496,9.383190960523144,0.2180117678053921,0.0608232267548695,0.1738219270355726,5.02,47.10361862182617,0.4965,8.3137,2.2774,8.163,0.8123,2.5,0.026573474,5.9720701973850385,49.80079681274901,-2.5242718446602086
ARGX,ARGX.BR,Argen X SE,Eurostoxx,2024,2024-12-31,Healthcare,Biotechnology,Netherlands,-0.112,36.45624,60.7604,43.10344827586207,0.1515091165733011,0.1343066578401495,0.0010712295069376,13.92,600.0,0.83304,2.190231,5.498283,6.202522,0.039053,0.0,0.015284472,38.034344322585156,0.0,
ASM,ASM.AS,ASM International NV,Eurostoxx,2021,2021-12-31,Technology,Semiconductor Equipment & Materials,Netherlands,1.387,18.366410322003173,48.5093,37.22873864037918,0.2206794322659845,0.1824761866822471,0.0012773318023878,10.17,378.61627197265625,0.494709,1.729911,2.241754,2.711088,0.02346,2.0,0.080081504,28.597367147789686,19.66568338249754,
ASM,ASM.AS,ASM International NV,Eurostoxx,2022,2022-12-31,Technology,Semiconductor Equipment & Materials,Netherlands,1.387,11.375351080807494,48.7327,29.287750359012318,0.1415306845076908,0.1037416394257314,0.0024723632528099,7.97,233.42337036132807,0.389113,2.410927,2.749319,3.750789,0.028124,2.5,0.06814967,16.139559596785798,31.367628607277293,-21.6322517207473
ASM,ASM.AS,ASM International NV,Eurostoxx,2023,2023-12-31,Technology,Semiconductor Equipment & Materials,Netherlands,1.387,22.2214146405487,49.0817,29.668635497086957,0.2330700496558366,0.1779327124746878,0.0015101648811666,15.26,452.7433776855469,0.752073,2.634331,3.226811,4.226727,0.033558,2.5,0.046868259,28.5489181124164,16.382699868938403,91.46800501882058
ASM,ASM.AS,ASM International NV,Eurostoxx,2024,2024-12-31,Technology,Semiconductor Equipment & Materials,Netherlands,1.387,27.788324828704837,50.0285,39.81719642557124,0.1830012369384239,0.1328447554398363,0.0004200325162437,13.95,555.4498901367188,0.685734,2.932724,3.747155,5.16192,0.011672,2.75,0.033931397,23.382152565328344,19.71326164874552,-8.584534731323723
ASML,ASML.AS,ASML Holding NV,Eurostoxx,2021,2021-12-31,Technology,Semiconductor Equipment & Materials,Netherlands,1.355,280.6695837713027,413.328992,47.28735708592662,0.5801629094925349,0.1946081836525421,0.0163327281082771,14.36,679.0464477539062,5.8832,18.611,10.1406,30.231,4.5841,3.35,0.204051919,31.61141260544839,23.328690807799443,
ASML,ASML.AS,ASML Holding NV,Eurostoxx,2022,2022-12-31,Technology,Semiconductor Equipment & Materials,Netherlands,1.355,202.6927718446328,403.136992,31.267961340757157,0.6383302310800382,0.154934931846481,0.0210190031012337,16.08,502.788818359375,5.6242,21.1734,8.8108,36.3004,4.2604,6.44,0.211626422,26.562573795422555,40.0497512437811,11.977715877437323
