Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,AnneeFiscale,DateRapport,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,Dividendes_Annuels,Annual_Volume_Traded
ACA,ACA.PA,Credit Agricole S.A.,Eurostoxx,Financial Services,Banks - Regional,France,0.8,37920313607.504395,3047879936.0,2024,2024-12-31,5.899259296849532,0.0948601258198367,0.003068254926222475,8.322083073109074,2.109,12.441537857055664,7087000000.0,25328000000.0,74710000000.0,2309782000000.0,315576000000.0,1.05,1285818443.0
ACA,ACA.PA,Credit Agricole S.A.,Eurostoxx,Financial Services,Banks - Regional,France,0.8,34619467619.3374,3030589952.0,2023,2023-12-31,5.879229390001518,0.08930028416284501,0.0028994271484672957,8.09504071759506,1.943,11.42334270477295,6348000000.0,23454000000.0,71086000000.0,2189398000000.0,280246000000.0,1.05,1567393779.0
ACA,ACA.PA,Credit Agricole S.A.,Eurostoxx,Financial Services,Banks - Regional,France,0.8,24075895693.362305,3023280128.0,2022,2022-12-31,4.8646923967010745,0.0797666832032953,0.0024816588294390403,9.964281414715543,1.637,7.963501453399658,5306000000.0,20646000000.0,66519000000.0,2138086000000.0,239899000000.0,1.05,2064236432.0
ACA,ACA.PA,Credit Agricole S.A.,Eurostoxx,Financial Services,Banks - Regional,France,0.8,27453808478.904053,3025400064.0,2021,2021-12-31,4.94250492852238,0.08566779541756454,0.002817804629319344,7.260340588197946,1.836,9.07443904876709,5844000000.0,21397000000.0,68217000000.0,2073955000000.0,199324000000.0,0.8,1413463083.0
ACKB,ACKB.BR,Ackermans & van Haaren NV,Eurostoxx,Industrials,Engineering & Construction,Belgium,0.642,6147315323.583984,32816800.0,2024,2024-12-31,13.313589523087686,0.08712569019113918,0.022663381920005686,1.6192092769037882,14.07,187.32220458984375,459871000.0,6043334000.0,5278248000.0,20291367000.0,9953790000.0,3.4,6813560.0
ACKB,ACKB.BR,Ackermans & van Haaren NV,Eurostoxx,Industrials,Engineering & Construction,Belgium,0.642,5090305708.380127,33031900.0,2023,2023-12-31,12.704263987466508,0.08123691988600612,0.020987537358325422,1.8993448633317345,12.13,154.10272216796875,399194000.0,5221554000.0,4913948000.0,19020526000.0,9668246000.0,3.1,5763168.0
ACKB,ACKB.BR,Ackermans & van Haaren NV,Eurostoxx,Industrials,Engineering & Construction,Belgium,0.642,5047928556.729126,33135300.0,2022,2022-12-31,7.1221564294245265,0.15293723089420333,0.04009019423905739,1.774760458536485,21.39,152.34292602539062,708655000.0,4401420000.0,4633633000.0,17676517000.0,8958864000.0,2.75,6571351.0
ACKB,ACKB.BR,Ackermans & van Haaren NV,Eurostoxx,Industrials,Engineering & Construction,Belgium,0.642,5191360544.909668,33152200.0,2021,2021-12-31,12.762162660133965,0.10280277001982195,0.02360664923270005,1.8146478015743213,12.27,156.59173583984375,406814000.0,4312375000.0,3957228000.0,17233026000.0,9420491000.0,2.35,6082828.0
ACS,ACS.MC,"ACS, Actividades de Construccion Y Servicios, S.A.",Eurostoxx,Industrials,Engineering & Construction,Spain,0.486,11504179787.291748,246227008.0,2024,2024-12-31,15.021313772793082,0.1755499804527288,0.019692431808072102,1.234742785895212,3.11037,46.72184371948242,827580000.0,41633120000.0,4714213000.0,42025282000.0,14204703000.0,2.012,158182832.0
ACS,ACS.MC,"ACS, Actividades de Construccion Y Servicios, S.A.",Eurostoxx,Industrials,Engineering & Construction,Spain,0.486,9526157631.828308,260638000.0,2023,2023-12-31,12.651708409739356,0.1463804966357496,0.021374245957411133,1.090891984117369,2.888889,36.549381256103516,780123000.0,35737759000.0,5329419000.0,36498270000.0,10392009000.0,1.962,132063710.0
