Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,AnneeFiscale,DateRapport,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,EPS,EOD_Close_Price,ROE_calcule,ROA_calcule,DebtToEquity_calcule,PER_calcule,Dividendes_Annuels,Annual_Volume_Traded
ADSK,ADSK,ADSK,USA,Technology,Software - Application,United States,1.475,54443259716.30859,214504000.0,2024,2024-01-31,906000000.0,5497000000.0,1855000000.0,9912000000.0,2626000000.0,4.23,253.80999755859375,0.4884097035040431,0.09140435835351089,0.04823370264167662,60.00236348902925,,397527500
ADSK,ADSK,ADSK,USA,Technology,Software - Application,United States,1.475,46424430231.44238,215767008.0,2023,2023-01-31,823000000.0,5005000000.0,1145000000.0,9438000000.0,2666000000.0,3.81,215.16000366210938,0.7187772925764192,0.08720067810976902,0.05742666063340006,56.472441906065455,,350634300
ADSK,ADSK,ADSK,USA,Technology,Software - Application,United States,1.475,54947052194.81055,219972992.0,2022,2022-01-31,497000000.0,4386000000.0,849000000.0,8607000000.0,3061000000.0,2.26,249.7899932861328,0.585394581861013,0.05774369699082142,0.05570817501087156,110.5265457018287,,424143700
ADSK,ADSK,ADSK,USA,Technology,Software - Application,United States,1.475,62958617799.95508,219888992.0,2021,2021-01-31,,,,,,,286.32000732421875,,,,,,340102800
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,23115962356.20117,266928000.0,2024,2024-12-31,1182000000.0,7623000000.0,12114000000.0,44598000000.0,18722000000.0,4.43,86.59999084472656,0.09757305596830114,0.02650343064711422,0.8099165291717811,19.54853066472383,2.68,392326300
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,18274311831.782715,262944992.0,2023,2023-12-31,1152000000.0,7500000000.0,11349000000.0,40830000000.0,16506000000.0,4.39,69.49861145019531,0.10150674068199841,0.028214548126377664,0.903235106850521,15.831118781365676,2.52,381627900
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,20824387726.638794,258522000.0,2022,2022-12-31,1074000000.0,7957000000.0,10508000000.0,37904000000.0,15095000000.0,4.16,80.55170440673828,0.10220784164446137,0.028334740396791895,0.7248712518299063,19.363390482389008,2.36,339750100
AEE,AEE,AEE,USA,Utilities,Utilities - Regulated Electric,United States,0.581,20334470956.817627,257606000.0,2021,2021-12-31,990000000.0,6394000000.0,9700000000.0,35735000000.0,13612000000.0,3.86,78.93632507324219,0.10206185567010309,0.027703931719602632,0.6694051706044629,20.44982514850834,2.2,322274800
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,47464347018.44531,532564992.0,2024,2024-12-31,2967100000.0,19721300000.0,26943800000.0,103078000000.0,45762800000.0,5.6,89.1240463256836,0.11012180909893927,0.02878499776868003,0.9641510496755793,15.9150082724435,3.5700000000000003,774202600
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,40614917812.86621,525876000.0,2023,2023-12-31,2208100000.0,18982300000.0,25246700000.0,96684000000.0,43608500000.0,4.26,77.23287963867188,0.08746093548859851,0.022838318646311695,1.0737064691581246,18.129783952739878,3.3699999999999997,777832800
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,43493315350.3418,513864000.0,2022,2022-12-31,2307200000.0,19639500000.0,23893400000.0,93403300000.0,41579300000.0,4.51,84.63973999023438,0.09656223057413345,0.024701482709925667,0.9559928845404342,18.767126383643987,3.17,755072200
AEP,AEP,AEP,USA,Utilities,Utilities - Regulated Electric,United States,0.598,38095320590.86133,496390016.0,2021,2021-12-31,2488100000.0,16792000000.0,22433200000.0,87668700000.0,36658900000.0,4.97,76.74473571777344,0.1109115061605121,0.028380710561466065,0.9622940411425253,15.441596723898076,3.0,706489300
AES,AES,AES,USA,Utilities,Utilities - Diversified,United States,1.001,8621422850.663635,711027008.0,2024,2024-12-31,1679000000.0,12278000000.0,3644000000.0,47406000000.0,29018000000.0,2.38,12.125309944152832,0.4607574094401756,0.03541745770577564,3.365801736283743,5.094668043761694,0.692,2345786200
AES,AES,AES,USA,Utilities,Utilities - Diversified,United States,1.001,11719342659.226318,669628992.0,2023,2023-12-31,249000000.0,12668000000.0,2488000000.0,44799000000.0,26878000000.0,0.37,17.50124740600586,0.10008038585209003,0.00555815978035224,2.2934733441589135,47.3006686648807,0.664,1534972700
AES,AES,AES,USA,Utilities,Utilities - Diversified,United States,1.001,16481001696.008423,669110976.0,2022,2022-12-31,-546000000.0,12617000000.0,2437000000.0,38363000000.0,23498000000.0,-0.82,24.631193161010742,-0.22404595814526057,-0.01423246357167062,1.4257628530971538,-30.038040440257003,0.632,1324512300
