Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,AnneeFiscale,DateRapport,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,EPS,EOD_Close_Price,ROE_calcule,ROA_calcule,DebtToEquity_calcule,PER_calcule,Dividendes_Annuels,Annual_Volume_Traded
ACA,ACA.PA,Credit Agricole S.A.,Eurostoxx,Financial Services,Banks - Regional,France,0.8,27453808478.904053,3025400064.0,2021,2021-12-31,5844000000.0,21397000000.0,68217000000.0,2073955000000.0,199324000000.0,1.836,9.07443904876709,0.08566779541756454,0.002817804629319344,7.260340588197946,4.94250492852238,0.8,1413463083
ACKB,ACKB.BR,Ackermans & van Haaren NV,Eurostoxx,Industrials,Engineering & Construction,Belgium,0.642,6147315323.583984,32816800.0,2024,2024-12-31,459871000.0,6043334000.0,5278248000.0,20291367000.0,9953790000.0,14.07,187.32220458984375,0.08712569019113918,0.022663381920005686,1.6192092769037882,13.313589523087686,3.4,6813560
ACKB,ACKB.BR,Ackermans & van Haaren NV,Eurostoxx,Industrials,Engineering & Construction,Belgium,0.642,5090305204.3533325,33031900.0,2023,2023-12-31,399194000.0,5221554000.0,4913948000.0,19020526000.0,9668246000.0,12.13,154.1027069091797,0.08123691988600612,0.020987537358325422,1.8993450513991812,12.704262729528415,3.1,5763168
ACKB,ACKB.BR,Ackermans & van Haaren NV,Eurostoxx,Industrials,Engineering & Construction,Belgium,0.642,5047928556.729126,33135300.0,2022,2022-12-31,708655000.0,4401420000.0,4633633000.0,17676517000.0,8958864000.0,21.39,152.34292602539062,0.15293723089420333,0.04009019423905739,1.774760458536485,7.1221564294245265,2.75,6571351
ACKB,ACKB.BR,Ackermans & van Haaren NV,Eurostoxx,Industrials,Engineering & Construction,Belgium,0.642,5191361050.772095,33152200.0,2021,2021-12-31,406814000.0,4312375000.0,3957228000.0,17233026000.0,9420491000.0,12.27,156.5917510986328,0.10280277001982195,0.02360664923270005,1.8146476247493748,12.762163903719056,2.35,6082828
ACS,ACS.MC,"ACS, Actividades de Construccion Y Servicios, S.A.",Eurostoxx,Industrials,Engineering & Construction,Spain,0.486,11504179787.291748,246227008.0,2024,2024-12-31,827580000.0,41633120000.0,4714213000.0,42025282000.0,14204703000.0,3.11037,46.72184371948242,0.1755499804527288,0.019692431808072102,1.234742785895212,15.021313772793082,2.012,158182832
ACS,ACS.MC,"ACS, Actividades de Construccion Y Servicios, S.A.",Eurostoxx,Industrials,Engineering & Construction,Spain,0.486,9526156637.573242,260638000.0,2023,2023-12-31,780123000.0,35737759000.0,5329419000.0,36498270000.0,10392009000.0,2.888889,36.54937744140625,0.1463804966357496,0.021374245957411133,1.0908920979749217,12.651707089267276,1.962,132063710
ACS,ACS.MC,"ACS, Actividades de Construccion Y Servicios, S.A.",Eurostoxx,Industrials,Engineering & Construction,Spain,0.486,6076845194.458008,263712000.0,2022,2022-12-31,668227000.0,33615234000.0,5547396000.0,37580300000.0,10996610000.0,2.288208,23.04349136352539,0.12045777874880394,0.017781310952813042,1.809591926091641,10.070540511843937,2.002,232870404
ACS,ACS.MC,"ACS, Actividades de Construccion Y Servicios, S.A.",Eurostoxx,Industrials,Engineering & Construction,Spain,0.486,4916565940.029297,267972992.0,2021,2021-12-31,3045413000.0,27836658000.0,6334304000.0,35664345000.0,10986496000.0,9.20336,18.347244262695312,0.48078099819648695,0.08539096960844227,2.234587338807162,1.9935376061237757,1.722,224900255
AD,AD.AS,Koninklijke Ahold Delhaize N.V.,Eurostoxx,Consumer Defensive,Grocery Stores,Netherlands,0.286,28110499584.726562,924323008.0,2024,2024-12-31,1764000000.0,89357000000.0,15454000000.0,51842000000.0,20315000000.0,1.9,30.4119873046875,0.11414520512488677,0.034026465028355386,0.7226837053809554,16.006309107730264,1.1099999999999999,504320394
AD,AD.AS,Koninklijke Ahold Delhaize N.V.,Eurostoxx,Consumer Defensive,Grocery Stores,Netherlands,0.286,23580172633.90564,954012992.0,2023,2023-12-31,1874000000.0,88734000000.0,14755000000.0,47821000000.0,17766000000.0,1.95,24.716825485229492,0.1270077939681464,0.039187804521026326,0.7534295984947322,12.675295120630508,1.08,529818086
AD,AD.AS,Koninklijke Ahold Delhaize N.V.,Eurostoxx,Consumer Defensive,Grocery Stores,Netherlands,0.286,23741980587.23535,978963968.0,2022,2022-12-31,2546000000.0,86984000000.0,15405000000.0,48555000000.0,17640000000.0,2.56,24.25214958190918,0.1652710159039273,0.05243538255586448,0.7429877189556787,9.473495930433273,0.98,748388512
AD,AD.AS,Koninklijke Ahold Delhaize N.V.,Eurostoxx,Consumer Defensive,Grocery Stores,Netherlands,0.286,26398131640.947754,1011569984.0,2021,2021-12-31,2246000000.0,75600000000.0,13720000000.0,45712000000.0,17088000000.0,2.18,26.09619903564453,0.16370262390670554,0.04913370668533427,0.6473185387671058,11.970733502589233,0.8300000000000001,800190975
